cases,deaths,countriesAndTerritories,dateRep,countryterritoryCode,popData2019,contintent
234,10,Afghanistan,2020-12-07,AFG,38041754.0,Asia
840,16,Albania,2020-12-07,ALB,2854191.0,Europe
750,15,Algeria,2020-12-07,DZA,43053054.0,Africa
45,0,Andorra,2020-12-07,AND,77142.0,Europe
55,0,Angola,2020-12-07,AGO,31825295.0,Africa
0,0,Antigua and Barbuda,2020-12-07,ATG,97118.0,Americas
3278,138,Argentina,2020-12-07,ARG,44938712.0,Americas
978,17,Armenia,2020-12-07,ARM,2957731.0,Asia
7,0,Australia,2020-12-07,AUS,25364307.0,Oceania
2741,83,Austria,2020-12-07,AUT,8877067.0,Europe
4356,39,Azerbaijan,2020-12-07,AZE,10023318.0,Asia
0,0,Bahamas,2020-12-07,BHS,389482.0,Americas
198,0,Bahrain,2020-12-07,BHR,1641172.0,Asia
1756,31,Bangladesh,2020-12-07,BGD,163046161.0,Asia
0,0,Barbados,2020-12-07,BRB,287025.0,Americas
1878,9,Belarus,2020-12-07,BLR,9466856.0,Europe
1814,66,Belgium,2020-12-07,BEL,11484055.0,Europe
168,1,Belize,2020-12-07,BLZ,390353.0,Americas
0,0,Benin,2020-12-07,BEN,11801151.0,Africa
4,0,Bhutan,2020-12-07,BTN,763092.0,Asia
68,3,Bolivia,2020-12-07,BOL,11513100.0,Americas
739,30,Bosnia and Herzegovina,2020-12-07,BIH,3301000.0,Europe
0,0,Botswana,2020-12-07,BWA,2303697.0,Africa
26363,313,Brazil,2020-12-07,BRA,211049527.0,Americas
0,0,Brunei,2020-12-07,BRN,433285.0,Asia
577,68,Bulgaria,2020-12-07,BGR,6975761.0,Europe
56,0,Burkina Faso,2020-12-07,BFA,20321378.0,Africa
1108,29,Burma,2020-12-07,MMR,54045420.0,Asia
0,0,Burundi,2020-12-07,BDI,11530580.0,Africa
27,0,Cabo Verde,2020-12-07,CPV,549935.0,Africa
2,0,Cambodia,2020-12-07,KHM,16486542.0,Asia
0,0,Cameroon,2020-12-07,CMR,25876380.0,Africa
6305,81,Canada,2020-12-07,CAN,37589262.0,Americas
0,0,Central African Republic,2020-12-07,CAF,4745185.0,Africa
3,0,Chad,2020-12-07,TCD,15946876.0,Africa
1714,36,Chile,2020-12-07,CHL,18952038.0,Americas
110,0,China,2020-12-07,CHN,1397715000.0,Asia
8854,175,Colombia,2020-12-07,COL,50339443.0,Americas
0,0,Comoros,2020-12-07,COM,850886.0,Africa
0,0,Congo (Brazzaville),2020-12-07,COG,5380508.0,Africa
114,2,Congo (Kinshasa),2020-12-07,COD,86790567.0,Africa
0,0,Costa Rica,2020-12-07,CRI,5047561.0,Americas
44,0,Cote d'Ivoire,2020-12-07,CIV,25716544.0,Africa
2899,72,Croatia,2020-12-07,HRV,4067500.0,Europe
68,0,Cuba,2020-12-07,CUB,11333483.0,Americas
270,4,Cyprus,2020-12-07,CYP,1198575.0,Asia
2654,87,Czechia,2020-12-07,CZE,10669709.0,Europe
1745,7,Denmark,2020-12-07,DNK,5818553.0,Europe
9,0,Djibouti,2020-12-07,DJI,973560.0,Africa
0,0,Dominica,2020-12-07,DMA,71808.0,Americas
798,0,Dominican Republic,2020-12-07,DOM,10738958.0,Americas
607,22,Ecuador,2020-12-07,ECU,17373662.0,Americas
418,21,Egypt,2020-12-07,EGY,100388073.0,Africa
413,6,El Salvador,2020-12-07,SLV,6453553.0,Americas
0,0,Equatorial Guinea,2020-12-07,GNQ,1355986.0,Africa
0,0,Eritrea,2020-12-07,ERI,,Africa
478,5,Estonia,2020-12-07,EST,1326590.0,Europe
6,0,Eswatini,2020-12-07,SWZ,1148130.0,Africa
555,2,Ethiopia,2020-12-07,ETH,112078730.0,Africa
0,0,Fiji,2020-12-07,FJI,889953.0,Oceania
413,0,Finland,2020-12-07,FIN,5520314.0,Europe
11022,174,France,2020-12-07,FRA,67059887.0,Europe
0,0,Gabon,2020-12-07,GAB,2172579.0,Africa
0,0,Gambia,2020-12-07,GMB,2347706.0,Africa
4321,42,Georgia,2020-12-07,GEO,3720382.0,Asia
10910,150,Germany,2020-12-07,DEU,83132799.0,Europe
178,0,Ghana,2020-12-07,GHA,30417856.0,Africa
903,101,Greece,2020-12-07,GRC,10716322.0,Europe
0,0,Grenada,2020-12-07,GRD,112003.0,Americas
198,11,Guatemala,2020-12-07,GTM,16604026.0,Americas
0,0,Guinea,2020-12-07,GIN,12771246.0,Africa
0,0,Guinea-Bissau,2020-12-07,GNB,1920922.0,Africa
28,2,Guyana,2020-12-07,GUY,782766.0,Americas
0,0,Haiti,2020-12-07,HTI,11263077.0,Americas
0,0,Holy See,2020-12-07,VAT,,
1063,5,Honduras,2020-12-07,HND,9746117.0,Americas
6697,162,Hungary,2020-12-07,HUN,9769949.0,Europe
6,0,Iceland,2020-12-07,ISL,361313.0,Europe
32981,391,India,2020-12-07,IND,1366417754.0,Asia
6089,151,Indonesia,2020-12-07,IDN,270625568.0,Asia
11561,294,Iran,2020-12-07,IRN,82913906.0,Asia
1680,21,Iraq,2020-12-07,IRQ,39309783.0,Asia
298,0,Ireland,2020-12-07,IRL,4941444.0,Europe
1080,8,Israel,2020-12-07,ISR,9053300.0,Asia
18887,564,Italy,2020-12-07,ITA,60297396.0,Europe
57,4,Jamaica,2020-12-07,JAM,2948279.0,Americas
2047,30,Japan,2020-12-07,JPN,126264931.0,Asia
2576,46,Jordan,2020-12-07,JOR,10101694.0,Asia
745,0,Kazakhstan,2020-12-07,KAZ,18513930.0,Asia
396,8,Kenya,2020-12-07,KEN,52573973.0,Africa
615,4,"Korea, South",2020-12-07,KOR,51709098.0,Asia
468,19,Kosovo,2020-12-07,XKX,1794248.0,Europe
205,2,Kuwait,2020-12-07,KWT,4207083.0,Asia
621,7,Kyrgyzstan,2020-12-07,KGZ,6456900.0,Asia
0,0,Laos,2020-12-07,LAO,7169455.0,Asia
526,9,Latvia,2020-12-07,LVA,1912789.0,Europe
2817,21,Lebanon,2020-12-07,LBN,6855713.0,Asia
0,0,Lesotho,2020-12-07,LSO,2125268.0,Africa
0,0,Liberia,2020-12-07,LBR,4937374.0,Africa
1051,12,Libya,2020-12-07,LBY,6777452.0,Africa
18,0,Liechtenstein,2020-12-07,LIE,38019.0,Europe
2219,15,Lithuania,2020-12-07,LTU,2786844.0,Europe
0,0,Luxembourg,2020-12-07,LUX,619896.0,Europe
0,0,Madagascar,2020-12-07,MDG,26969307.0,Africa
2,0,Malawi,2020-12-07,MWI,18628747.0,Africa
1335,2,Malaysia,2020-12-07,MYS,31949777.0,Asia
39,0,Maldives,2020-12-07,MDV,530953.0,Asia
73,1,Mali,2020-12-07,MLI,19658031.0,Africa
97,2,Malta,2020-12-07,MLT,502653.0,Europe
0,0,Marshall Islands,2020-12-07,MHL,58791.0,Oceania
157,4,Mauritania,2020-12-07,MRT,4525696.0,Africa
0,0,Mauritius,2020-12-07,MUS,1265711.0,Africa
7455,261,Mexico,2020-12-07,MEX,127575529.0,Americas
808,16,Moldova,2020-12-07,MDA,2657637.0,Europe
1,0,Monaco,2020-12-07,MCO,38964.0,Europe
38,0,Mongolia,2020-12-07,MNG,3225167.0,Asia
367,3,Montenegro,2020-12-07,MNE,622137.0,Europe
2919,61,Morocco,2020-12-07,MAR,36471769.0,Africa
111,0,Mozambique,2020-12-07,MOZ,30366036.0,Africa
128,0,Namibia,2020-12-07,NAM,2494530.0,Africa
1096,17,Nepal,2020-12-07,NPL,28608710.0,Asia
6912,25,Netherlands,2020-12-07,NLD,17332850.0,Europe
1,0,New Zealand,2020-12-07,NZL,4917000.0,Oceania
0,0,Nicaragua,2020-12-07,NIC,6545502.0,Americas
67,0,Niger,2020-12-07,NER,23310715.0,Africa
318,0,Nigeria,2020-12-07,NGA,200963599.0,Africa
657,23,North Macedonia,2020-12-07,MKD,2083459.0,Europe
250,0,Norway,2020-12-07,NOR,5347896.0,Europe
557,9,Oman,2020-12-07,OMN,4974986.0,Asia
3795,37,Pakistan,2020-12-07,PAK,216565318.0,Asia
1812,20,Panama,2020-12-07,PAN,4246439.0,Americas
0,0,Papua New Guinea,2020-12-07,PNG,8776109.0,Oceania
707,20,Paraguay,2020-12-07,PRY,7044636.0,Americas
1828,36,Peru,2020-12-07,PER,32510453.0,Americas
1765,28,Philippines,2020-12-07,PHL,108116615.0,Asia
9176,228,Poland,2020-12-07,POL,37970874.0,Europe
3834,87,Portugal,2020-12-07,PRT,10269417.0,Europe
125,0,Qatar,2020-12-07,QAT,2832067.0,Asia
